\begin{tabular}{llrr}
\toprule
{} &                                 Substrate &  UniProt &  SwissProt \\
\midrule
CHEBI:24636  &                                    proton &    672.0 &      551.0 \\
CHEBI:22629  &                              arsenate ion &      4.0 &        4.0 \\
CHEBI:64608  &                                GDP-fucose &      4.0 &        4.0 \\
CHEBI:16301  &                                   nitrite &      4.0 &        3.0 \\
CHEBI:26986  &                                 threonine &      4.0 &        4.0 \\
CHEBI:326268 &                      1,4-butanediammonium &      3.0 &        4.0 \\
CHEBI:25516  &                             nickel cation &      3.0 &        3.0 \\
CHEBI:58937  &              thiamine(1+) diphosphate(3-) &      3.0 &        3.0 \\
CHEBI:57762  &                       L-valine zwitterion &      3.0 &        3.0 \\
CHEBI:17568  &                                    uracil &      3.0 &        4.0 \\
CHEBI:30049  &                             teichoic acid &      3.0 &        2.0 \\
CHEBI:29806  &                              fumarate(2-) &      3.0 &        3.0 \\
CHEBI:48081  &                               bacteriocin &      3.0 &        1.0 \\
CHEBI:36264  &                                 molybdate &      3.0 &        3.0 \\
CHEBI:60903  &            N-(4-aminobenzoyl)-L-glutamate &      3.0 &        1.0 \\
CHEBI:16199  &                                      urea &      3.0 &        3.0 \\
CHEBI:57632  &                    UDP-alpha-D-xylose(2-) &      3.0 &        3.0 \\
CHEBI:25676  &                              oligopeptide &      3.0 &        3.0 \\
CHEBI:350546 &                             serotonin(1+) &      3.0 &        2.0 \\
CHEBI:29032  &                          (R)-pantothenate &      3.0 &        3.0 \\
CHEBI:35247  &                       D-serine zwitterion &      3.0 &        3.0 \\
CHEBI:46502  &                                 tungstate &      3.0 &        3.0 \\
CHEBI:33542  &              trioxidosulfanidosulfate(1-) &      3.0 &        3.0 \\
CHEBI:37592  &                       organic phosphonate &      2.0 &        2.0 \\
CHEBI:15361  &                                  pyruvate &      2.0 &        2.0 \\
CHEBI:25140  &                              maltodextrin &      2.0 &        2.0 \\
CHEBI:58210  &                                   FMN(3-) &      2.0 &        2.0 \\
CHEBI:65340  &              5-formyltetrahydrofolate(2-) &      2.0 &        2.0 \\
CHEBI:71501  &                             c-GMP-AMP(2-) &      2.0 &        2.0 \\
CHEBI:21168  &                               GDP-mannose &      2.0 &        2.0 \\
CHEBI:30653  &                                homoserine &      2.0 &        2.0 \\
CHEBI:29805  &                                 glycolate &      2.0 &        2.0 \\
CHEBI:3098   &                                 bile acid &      2.0 &        4.0 \\
CHEBI:30477  &                                 tellurite &      2.0 &        2.0 \\
CHEBI:39127  &                          magnesium cation &      2.0 &        2.0 \\
CHEBI:16412  &                        lipopolysaccharide &      2.0 &        1.0 \\
CHEBI:57305  &                        glycine zwitterion &      2.0 &        2.0 \\
CHEBI:60249  &                                  lead ion &      2.0 &        2.0 \\
CHEBI:57844  &                   L-methionine zwitterion &      2.0 &        2.0 \\
CHEBI:60836  &                             phytochelatin &      2.0 &        2.0 \\
CHEBI:57966  &                   beta-alanine zwitterion &      2.0 &        2.0 \\
CHEBI:17814  &                                   salicin &      2.0 &        2.0 \\
CHEBI:17536  &                                allantoate &      2.0 &        2.0 \\
CHEBI:32544  &                                nicotinate &      1.0 &        1.0 \\
CHEBI:28793  &                             beta-D-glucan &      1.0 &        1.0 \\
CHEBI:28498  &                                 acadesine &      1.0 &        1.0 \\
CHEBI:57603  &                        ethanolaminium(1+) &      1.0 &        1.0 \\
CHEBI:28199  &                     ferrienterobactin(3-) &      1.0 &        1.0 \\
CHEBI:57947  &                       creatine zwitterion &      1.0 &        1.0 \\
CHEBI:57761  &                        pyridoxaminium(1+) &      1.0 &        1.0 \\
CHEBI:67063  &      poly-beta-1,6-N-acetyl-D-glucosamine &      1.0 &        1.0 \\
CHEBI:17540  &                 methyl beta-D-galactoside &      1.0 &        1.0 \\
CHEBI:60253  &                             silver cation &      1.0 &        1.0 \\
CHEBI:16708  &                                   adenine &      1.0 &        2.0 \\
CHEBI:17796  &                                 L-idonate &      1.0 &        1.0 \\
CHEBI:16347  &                             (R)-carnitine &      1.0 &        1.0 \\
CHEBI:16947  &                               citrate(3-) &      1.0 &        1.0 \\
CHEBI:17310  &                                 pyridoxal &      1.0 &        1.0 \\
CHEBI:507393 &                        taurine zwitterion &      1.0 &        0.0 \\
CHEBI:15740  &                                   formate &      1.0 &        1.0 \\
CHEBI:24250  &                               gibberellin &      1.0 &        1.0 \\
CHEBI:24592  &                            hexuronic acid &      1.0 &        1.0 \\
CHEBI:57597  &               sn-glycerol 3-phosphate(2-) &      1.0 &        1.0 \\
CHEBI:37554  &                            fatty acyl-CoA &      1.0 &        2.0 \\
CHEBI:62071  &                           2-cis-abscisate &      1.0 &        1.0 \\
CHEBI:29990  &                           D-aspartate(1-) &      1.0 &        1.0 \\
CHEBI:46911  &                         L-ornithinium(1+) &      1.0 &        1.0 \\
CHEBI:57746  &                      3',5'-cyclic GMP(1-) &      1.0 &        1.0 \\
CHEBI:62436  &  (+)-abscisic acid D-glucopyranosyl ester &      1.0 &        1.0 \\
CHEBI:15354  &                                   choline &      1.0 &        1.0 \\
CHEBI:26333  &                             prostaglandin &      1.0 &        2.0 \\
CHEBI:16988  &                                  D-ribose &      1.0 &        1.0 \\
CHEBI:30089  &                                   acetate &      1.0 &        1.0 \\
CHEBI:62501  &                                folate(2-) &      1.0 &        1.0 \\
CHEBI:28163  &                     iron(III) hydroxamate &      1.0 &        1.0 \\
CHEBI:58243  &                   5'-adenylyl sulfate(2-) &      1.0 &        1.0 \\
CHEBI:18305  &     hydroquinone O-beta-D-glucopyranoside &      1.0 &        1.0 \\
CHEBI:63137  &               4-hydroxyproline zwitterion &      1.0 &        1.0 \\
CHEBI:17359  &                                   sulfite &      1.0 &        1.0 \\
CHEBI:16150  &                                  benzoate &      1.0 &        1.0 \\
CHEBI:16526  &                            carbon dioxide &      1.0 &        1.0 \\
CHEBI:33871  &                                 glycerate &      1.0 &        1.0 \\
CHEBI:16244  &             4-(trimethylammonio)butanoate &      1.0 &        1.0 \\
CHEBI:49713  &                               lithium(1+) &      1.0 &        1.0 \\
CHEBI:16235  &                                   guanine &      1.0 &        1.0 \\
CHEBI:16709  &                                pyridoxine &      1.0 &        1.0 \\
CHEBI:57416  &                      D-alanine zwitterion &      1.0 &        1.0 \\
CHEBI:16810  &                        2-oxoglutarate(2-) &      1.0 &        1.0 \\
CHEBI:57990  &             2-dehydro-3-deoxy-D-gluconate &      1.0 &        1.0 \\
CHEBI:58702  &                   phosphonatoenolpyruvate &      1.0 &        1.0 \\
CHEBI:64627  &                                  microcin &      1.0 &        1.0 \\
CHEBI:32682  &                          L-argininium(1+) &      1.0 &        1.0 \\
CHEBI:16480  &                              nitric oxide &      1.0 &        1.0 \\
CHEBI:23336  &                             cobalt cation &      1.0 &        1.0 \\
CHEBI:57812  &         CMP-N-acetyl-beta-neuraminate(2-) &      1.0 &        1.0 \\
CHEBI:15936  &                         aldehydo-D-xylose &      1.0 &        1.0 \\
CHEBI:143624 &                         D-galactofuranose &      1.0 &        1.0 \\
CHEBI:58145  &                            agmatinium(2+) &      0.0 &        0.0 \\
CHEBI:35172  &                           vanadium cation &      0.0 &        1.0 \\
CHEBI:28757  &                                  fructose &      0.0 &        0.0 \\
CHEBI:12931  &                             D-galactonate &      0.0 &        1.0 \\
CHEBI:30408  &                       iron-sulfur cluster &      0.0 &        1.0 \\
CHEBI:17750  &                           glycine betaine &      0.0 &        0.0 \\
CHEBI:26675  &                              silicic acid &      0.0 &        0.0 \\
CHEBI:15889  &                                    sterol &      0.0 &        1.0 \\
CHEBI:58252  &          S-methyl-L-methionine zwitterion &      0.0 &        0.0 \\
CHEBI:25350  &                                mevalonate &      0.0 &        1.0 \\
Total        &                                         - &   2554.0 &     2088.0 \\
\bottomrule
\end{tabular}
