label,Substrate,UniProt
CHEBI:58315,L-tyrosine zwitterion,2
CHEBI:30089,acetate,2
CHEBI:77847,glycerol 1-phosphodiester(1-),2
CHEBI:46081,fluconazole,2
CHEBI:45725,spermine(4+),2
CHEBI:17568,uracil,2
CHEBI:77805,enterobactin(1-),2
CHEBI:32544,nicotinate,2
CHEBI:17540,methyl beta-D-galactoside,2
CHEBI:17536,allantoate,2
CHEBI:58359,L-glutamine zwitterion,2
CHEBI:33384,L-serine zwitterion,2
CHEBI:29032,(R)-pantothenate,1
CHEBI:62071,2-cis-abscisate,1
CHEBI:28498,acadesine,1
CHEBI:64627,microcin,1
CHEBI:60253,silver cation,1
CHEBI:60836,phytochelatin,1
CHEBI:26675,silicic acid,1
CHEBI:28163,iron(III) hydroxamate,1
CHEBI:28199,ferrienterobactin(3-),1
CHEBI:62436,(+)-abscisic acid D-glucopyranosyl ester,1
CHEBI:67063,"poly-beta-1,6-N-acetyl-D-glucosamine",1
CHEBI:143624,D-galactofuranose,1
CHEBI:25350,mevalonate,1
CHEBI:16708,adenine,1
CHEBI:30623,oxalate(2-),1
CHEBI:21168,GDP-mannose,1
CHEBI:17562,cytidine,1
CHEBI:17359,sulfite,1
CHEBI:30031,succinate(2-),1
CHEBI:29991,L-aspartate(1-),1
CHEBI:37592,organic phosphonate,1
CHEBI:16988,D-ribose,1
CHEBI:16813,galactitol,1
CHEBI:57287,coenzyme A(4-),1
CHEBI:58252,S-methyl-L-methionine zwitterion,1
CHEBI:57427,L-leucine zwitterion,1
CHEBI:24592,hexuronic acid,1
CHEBI:16301,nitrite,1
CHEBI:17754,glycerol,1
CHEBI:57926,L-threonine zwitterion,1
CHEBI:16150,benzoate,1
CHEBI:16040,cytosine,1
CHEBI:58095,L-phenylalanine zwitterion,1
CHEBI:58145,agmatinium(2+),1
CHEBI:77932,tetracycline zwitterion,1
Total,,4523
